state,answer_set,race,who_vote_for,count,n_respondents,pct_of_respondents
CA,2024-001,"Hispanic or Latino, Native American / American Indian, White",Donald J. Trump,18,50,0.36
CO,2024-001,White,Joe Biden,18,170,0.10588235294117647
IL,2024-001,Black or African American,Wouldn't vote,18,304,0.05921052631578947
MA,2024-001,Black or African American,Joe Biden,18,78,0.23076923076923078
MA,2024-001,White,Wouldn't vote,18,161,0.11180124223602485
MI,2024-001,White,Third-Party Candidate,18,193,0.09326424870466321
NE,2024-001,Native American / American Indian,Donald J. Trump,18,42,0.42857142857142855
NY,2024-001,Other,Donald J. Trump,18,23,0.782608695652174
NY,2024-001,White,Joe Biden,18,170,0.10588235294117647
OK,2024-001,Hispanic or Latino,Joe Biden,18,66,0.2727272727272727
OR,2024-001,Hispanic or Latino,Donald J. Trump,18,51,0.35294117647058826
WA,2024-001,Black or African American,Third-Party Candidate,18,165,0.10909090909090909
WV,2024-001,Native American / American Indian,Donald J. Trump,18,22,0.8181818181818182
0_ALL_STATES,2024-001,Asian American,Don't know,17,231,0.0735930735930736
0_ALL_STATES,2024-001,"Black or African American, Hispanic or Latino, Native American / American Indian, White",Donald J. Trump,17,29,0.5862068965517241
0_ALL_STATES,2024-001,"Black or African American, White",Don't know,17,231,0.0735930735930736
0_ALL_STATES,2024-001,"Hispanic or Latino, Native American / American Indian, Other",Donald J. Trump,17,29,0.5862068965517241
0_ALL_STATES,2024-001,"Hispanic or Latino, Other",Wouldn't vote,17,129,0.13178294573643412
0_ALL_STATES,2024-001,Middle Eastern or Arab,Third-Party Candidate,17,111,0.15315315315315314
0_ALL_STATES,2024-001,White,"Don't know, Wouldn't vote",17,13450,0.0012639405204460967
AL,2024-001,Other,Donald J. Trump,17,34,0.5
AZ,2024-001,"Hispanic or Latino, Native American / American Indian",Joe Biden,17,100,0.17
AZ,2024-001,Native Hawaiian or Pacific Islander,Donald J. Trump,17,40,0.425
CA,2024-001,"Hispanic or Latino, Native American / American Indian",Wouldn't vote,17,104,0.16346153846153846
CA,2024-001,"Hispanic or Latino, Other",Joe Biden,17,76,0.2236842105263158
CA,2024-001,Middle Eastern or Arab,Donald J. Trump,17,28,0.6071428571428571
CO,2024-001,White,Wouldn't vote,17,170,0.1
KY,2024-001,"Other, White",Donald J. Trump,17,25,0.68
MA,2024-001,Other,Donald J. Trump,17,27,0.6296296296296297
NC,2024-001,Hispanic or Latino,Third-Party Candidate,17,161,0.10559006211180125
OK,2024-001,"Native American / American Indian, White",Third-Party Candidate,17,119,0.14285714285714285
SC,2024-001,Native American / American Indian,Donald J. Trump,17,24,0.7083333333333334
VA,2024-001,Black or African American,Joe Biden,17,101,0.16831683168316833
WA,2024-001,Native American / American Indian,Wouldn't vote,17,107,0.1588785046728972
0_ALL_STATES,2024-001,Black or African American,"Donald J. Trump, Joe Biden",16,6418,0.0024929884699283265
AZ,2024-001,"Hispanic or Latino, Native American / American Indian",Don't know,16,100,0.16
AZ,2024-001,"Hispanic or Latino, White",Third-Party Candidate,16,119,0.13445378151260504
CA,2024-001,Asian American,Third-Party Candidate,16,107,0.14953271028037382
CA,2024-001,"Black or African American, Native American / American Indian",Donald J. Trump,16,40,0.4
CA,2024-001,"Native American / American Indian, White",Third-Party Candidate,16,96,0.16666666666666666
CA,2024-001,Native Hawaiian or Pacific Islander,Joe Biden,16,63,0.25396825396825395
CO,2024-001,White,Third-Party Candidate,16,170,0.09411764705882353
MT,2024-001,White,Third-Party Candidate,16,134,0.11940298507462686
NC,2024-001,"Black or African American, Native American / American Indian",Joe Biden,16,90,0.17777777777777778
NH,2024-001,White,Third-Party Candidate,16,85,0.18823529411764706
NJ,2024-001,White,Donald J. Trump,16,30,0.5333333333333333
NY,2024-001,Black or African American,Wouldn't vote,16,122,0.13114754098360656
OR,2024-001,White,Don't know,16,317,0.050473186119873815
PA,2024-001,Black or African American,Don't know,16,161,0.09937888198757763
TX,2024-001,Other,Donald J. Trump,16,32,0.5
WA,2024-001,Hispanic or Latino,Wouldn't vote,16,164,0.0975609756097561
WA,2024-001,"Hispanic or Latino, White",Donald J. Trump,16,35,0.45714285714285713
WA,2024-001,Native American / American Indian,Joe Biden,16,107,0.14953271028037382
0_ALL_STATES,2024-001,"Asian American, Black or African American, Hispanic or Latino, Middle Eastern or Arab, Native American / American Indian, Native Hawaiian or Pacific Islander, Other, White",Third-Party Candidate,15,90,0.16666666666666666
0_ALL_STATES,2024-001,"Native American / American Indian, Other, White",Joe Biden,15,142,0.1056338028169014
AZ,2024-001,"Hispanic or Latino, Native American / American Indian",Third-Party Candidate,15,100,0.15
AZ,2024-001,"Hispanic or Latino, Native American / American Indian",Wouldn't vote,15,100,0.15
CA,2024-001,"Black or African American, White",Donald J. Trump,15,34,0.4411764705882353
CO,2024-001,Black or African American,Donald J. Trump,15,31,0.4838709677419355
GA,2024-001,Black or African American,Wouldn't vote,15,135,0.1111111111111111
NE,2024-001,Other,Donald J. Trump,15,32,0.46875
OH,2024-001,"Other, White",Donald J. Trump,15,26,0.5769230769230769
OR,2024-001,Hispanic or Latino,Joe Biden,15,51,0.29411764705882354
TX,2024-001,"Native American / American Indian, White",Donald J. Trump,15,23,0.6521739130434783
VA,2024-001,Black or African American,Don't know,15,101,0.1485148514851485
WA,2024-001,"Hispanic or Latino, Native American / American Indian, White",Donald J. Trump,15,22,0.6818181818181818
WA,2024-001,Other,Joe Biden,15,139,0.1079136690647482
WV,2024-001,Black or African American,Joe Biden,15,68,0.22058823529411764
0_ALL_STATES,2024-001,"Black or African American, Native Hawaiian or Pacific Islander",Donald J. Trump,14,38,0.3684210526315789
0_ALL_STATES,2024-001,"Hispanic or Latino, Other",Don't know,14,129,0.10852713178294573
0_ALL_STATES,2024-001,White,"Donald J. Trump, Joe Biden",14,13450,0.0010408921933085502
AL,2024-001,"Native American / American Indian, White",Donald J. Trump,14,23,0.6086956521739131
AZ,2024-001,"Hispanic or Latino, White",Wouldn't vote,14,119,0.11764705882352941
CA,2024-001,"Hispanic or Latino, Native American / American Indian",Don't know,14,104,0.1346153846153846
CA,2024-001,"Native American / American Indian, White",Joe Biden,14,96,0.14583333333333334
CA,2024-001,"Other, White",Joe Biden,14,63,0.2222222222222222
CO,2024-001,Other,Donald J. Trump,14,34,0.4117647058823529
GA,2024-001,Hispanic or Latino,Donald J. Trump,14,27,0.5185185185185185
IL,2024-001,White,Wouldn't vote,14,83,0.1686746987951807
MA,2024-001,White,Joe Biden,14,161,0.08695652173913043
ME,2024-001,"Native American / American Indian, White",Donald J. Trump,14,22,0.6363636363636364
ME,2024-001,White,Joe Biden,14,110,0.12727272727272726
ME,2024-001,White,Third-Party Candidate,14,110,0.12727272727272726
MI,2024-001,Black or African American,Don't know,14,136,0.10294117647058823
MI,2024-001,White,Wouldn't vote,14,193,0.07253886010362694
MT,2024-001,"Native American / American Indian, White",Donald J. Trump,14,18,0.7777777777777778
NC,2024-001,Asian American,Donald J. Trump,14,28,0.5
NE,2024-001,White,Don't know,14,255,0.054901960784313725
NY,2024-001,Black or African American,Don't know,14,122,0.11475409836065574
OK,2024-001,"Native American / American Indian, White",Wouldn't vote,14,119,0.11764705882352941
OR,2024-001,Other,Donald J. Trump,14,32,0.4375
PA,2024-001,Black or African American,Wouldn't vote,14,161,0.08695652173913043
PA,2024-001,White,Don't know,14,324,0.043209876543209874
SD,2024-001,Native American / American Indian,Don't know,14,145,0.09655172413793103
SD,2024-001,Native American / American Indian,Third-Party Candidate,14,145,0.09655172413793103
SD,2024-001,Other,Donald J. Trump,14,26,0.5384615384615384
TX,2024-001,Hispanic or Latino,Don't know,14,149,0.09395973154362416
TX,2024-001,Hispanic or Latino,Wouldn't vote,14,149,0.09395973154362416
VA,2024-001,White,Wouldn't vote,14,151,0.09271523178807947
WA,2024-001,Hispanic or Latino,Don't know,14,164,0.08536585365853659
WA,2024-001,Native American / American Indian,Third-Party Candidate,14,107,0.1308411214953271
0_ALL_STATES,2024-001,Black or African American,"Don't know, Joe Biden",13,6418,0.0020255531318167652
0_ALL_STATES,2024-001,"Black or African American, Native American / American Indian, White",Wouldn't vote,13,96,0.13541666666666666
0_ALL_STATES,2024-001,"Black or African American, Other, White",Donald J. Trump,13,32,0.40625
0_ALL_STATES,2024-001,"Hispanic or Latino, Native American / American Indian, Other, White",Donald J. Trump,13,36,0.3611111111111111
AL,2024-001,Native American / American Indian,Donald J. Trump,13,17,0.7647058823529411
AZ,2024-001,"Native American / American Indian, White",Joe Biden,13,51,0.2549019607843137
CO,2024-001,"Hispanic or Latino, Native American / American Indian",Donald J. Trump,13,23,0.5652173913043478
GA,2024-001,Other,Donald J. Trump,13,18,0.7222222222222222
KY,2024-001,Other,Wouldn't vote,13,59,0.22033898305084745
MI,2024-001,Black or African American,Third-Party Candidate,13,136,0.09558823529411764
NC,2024-001,"Black or African American, Native American / American Indian",Third-Party Candidate,13,90,0.14444444444444443
NC,2024-001,Hispanic or Latino,Don't know,13,161,0.08074534161490683
OH,2024-001,Other,Don't know,13,125,0.104
OH,2024-001,Other,Joe Biden,13,125,0.104
OK,2024-001,Black or African American,Third-Party Candidate,13,146,0.08904109589041095
OK,2024-001,Other,Wouldn't vote,13,71,0.18309859154929578
OR,2024-001,Native American / American Indian,Donald J. Trump,13,29,0.4482758620689655
PA,2024-001,"Native American / American Indian, White",Donald J. Trump,13,17,0.7647058823529411
TX,2024-001,White,Third-Party Candidate,13,189,0.06878306878306878
VA,2024-001,White,Third-Party Candidate,13,151,0.08609271523178808
WA,2024-001,Black or African American,Don't know,13,165,0.07878787878787878
WV,2024-001,Other,Donald J. Trump,13,24,0.5416666666666666
0_ALL_STATES,2024-001,"Asian American, Black or African American, Hispanic or Latino, Middle Eastern or Arab, Native American / American Indian, Native Hawaiian or Pacific Islander, Other, White",Joe Biden,12,90,0.13333333333333333
0_ALL_STATES,2024-001,Black or African American,"Don't know, Wouldn't vote",12,6418,0.001869741352446245
0_ALL_STATES,2024-001,"Black or African American, Hispanic or Latino, Native American / American Indian",Joe Biden,12,67,0.1791044776119403
0_ALL_STATES,2024-001,"Black or African American, Hispanic or Latino, Other",Donald J. Trump,12,28,0.42857142857142855
0_ALL_STATES,2024-001,"Black or African American, Middle Eastern or Arab",Donald J. Trump,12,21,0.5714285714285714
0_ALL_STATES,2024-001,"Black or African American, Native American / American Indian, Other, White",Donald J. Trump,12,26,0.46153846153846156
0_ALL_STATES,2024-001,Middle Eastern or Arab,Joe Biden,12,111,0.10810810810810811
0_ALL_STATES,2024-001,Middle Eastern or Arab,Wouldn't vote,12,111,0.10810810810810811
0_ALL_STATES,2024-001,White,"Don't know, Third-Party Candidate",12,13450,0.0008921933085501858
AZ,2024-001,"Black or African American, Native American / American Indian",Donald J. Trump,12,34,0.35294117647058826
AZ,2024-001,"Black or African American, Native American / American Indian",Joe Biden,12,34,0.35294117647058826
CA,2024-001,Asian American,Don't know,12,107,0.11214953271028037
CA,2024-001,"Hispanic or Latino, Native American / American Indian",Third-Party Candidate,12,104,0.11538461538461539
CA,2024-001,"Hispanic or Latino, Other",Third-Party Candidate,12,76,0.15789473684210525
CO,2024-001,Hispanic or Latino,Don't know,12,99,0.12121212121212122
CO,2024-001,White,Don't know,12,170,0.07058823529411765
FL,2024-001,Black or African American,Donald J. Trump,12,30,0.4
FL,2024-001,Hispanic or Latino,Donald J. Trump,12,18,0.6666666666666666
IL,2024-001,Hispanic or Latino,Joe Biden,12,93,0.12903225806451613
KY,2024-001,Native American / American Indian,Donald J. Trump,12,20,0.6
MA,2024-001,Black or African American,Wouldn't vote,12,78,0.15384615384615385
MA,2024-001,White,Third-Party Candidate,12,161,0.07453416149068323
MI,2024-001,Black or African American,Wouldn't vote,12,136,0.08823529411764706
NC,2024-001,"Black or African American, Hispanic or Latino",Donald J. Trump,12,29,0.41379310344827586
NC,2024-001,"Black or African American, White",Donald J. Trump,12,23,0.5217391304347826
NE,2024-001,Black or African American,Don't know,12,108,0.1111111111111111
NE,2024-001,Black or African American,Third-Party Candidate,12,108,0.1111111111111111
NY,2024-001,Hispanic or Latino,Joe Biden,12,54,0.2222222222222222
NY,2024-001,"Native American / American Indian, White",Donald J. Trump,12,17,0.7058823529411765
OH,2024-001,"Black or African American, Native American / American Indian",Donald J. Trump,12,29,0.41379310344827586
OH,2024-001,"Native American / American Indian, White",Third-Party Candidate,12,64,0.1875
OH,2024-001,Other,Third-Party Candidate,12,125,0.096
OK,2024-001,Native American / American Indian,Joe Biden,12,126,0.09523809523809523
OK,2024-001,Other,Third-Party Candidate,12,71,0.16901408450704225
PA,2024-001,Black or African American,Third-Party Candidate,12,161,0.07453416149068323
PA,2024-001,Hispanic or Latino,Wouldn't vote,12,87,0.13793103448275862
VA,2024-001,Black or African American,Wouldn't vote,12,101,0.1188118811881188
WV,2024-001,Black or African American,Wouldn't vote,12,68,0.17647058823529413
0_ALL_STATES,2024-001,"Asian American, Black or African American",Donald J. Trump,11,25,0.44
0_ALL_STATES,2024-001,"Asian American, Other",Donald J. Trump,11,23,0.4782608695652174
0_ALL_STATES,2024-001,"Black or African American, Native American / American Indian, White",Joe Biden,11,96,0.11458333333333333
0_ALL_STATES,2024-001,"Hispanic or Latino, Other, White",Wouldn't vote,11,60,0.18333333333333332
0_ALL_STATES,2024-001,"Native American / American Indian, Other, White",Don't know,11,142,0.07746478873239436
AR,2024-001,"Other, White",Donald J. Trump,11,14,0.7857142857142857
AZ,2024-001,"Black or African American, Hispanic or Latino",Donald J. Trump,11,29,0.3793103448275862
AZ,2024-001,"Black or African American, White",Joe Biden,11,26,0.4230769230769231
AZ,2024-001,"Other, White",Donald J. Trump,11,42,0.2619047619047619
CA,2024-001,"Black or African American, Native American / American Indian",Joe Biden,11,40,0.275
CA,2024-001,"Hispanic or Latino, Native American / American Indian, White",Third-Party Candidate,11,50,0.22
CA,2024-001,"Other, White",Third-Party Candidate,11,63,0.1746031746031746
CO,2024-001,Hispanic or Latino,Joe Biden,11,99,0.1111111111111111
CO,2024-001,Hispanic or Latino,Third-Party Candidate,11,99,0.1111111111111111
CO,2024-001,Hispanic or Latino,Wouldn't vote,11,99,0.1111111111111111
FL,2024-001,White,Third-Party Candidate,11,94,0.11702127659574468
IN,2024-001,Black or African American,Donald J. Trump,11,23,0.4782608695652174
MD,2024-001,White,Donald J. Trump,11,18,0.6111111111111112
NC,2024-001,Native American / American Indian,Third-Party Candidate,11,150,0.07333333333333333
NC,2024-001,Native American / American Indian,Wouldn't vote,11,150,0.07333333333333333
OH,2024-001,"Hispanic or Latino, White",Donald J. Trump,11,26,0.4230769230769231
OK,2024-001,Hispanic or Latino,Wouldn't vote,11,66,0.16666666666666666
OR,2024-001,Black or African American,Donald J. Trump,11,32,0.34375
PA,2024-001,Hispanic or Latino,Joe Biden,11,87,0.12643678160919541
SD,2024-001,Black or African American,Donald J. Trump,11,25,0.44
TX,2024-001,Black or African American,Don't know,11,157,0.07006369426751592
UT,2024-001,Hispanic or Latino,Donald J. Trump,11,23,0.4782608695652174
VA,2024-001,Hispanic or Latino,Donald J. Trump,11,19,0.5789473684210527
WI,2024-001,Black or African American,Donald J. Trump,11,23,0.4782608695652174
