state,answer_set,race,who_vote_for,count,n_respondents,pct_of_respondents
0_ALL_STATES,2024-001,"Hispanic or Latino, White",Joe Biden,104,572,0.18181818181818182
AZ,2024-001,White,Don't know,104,2001,0.051974012993503245
0_ALL_STATES,2024-001,Native American / American Indian,Don't know,103,1375,0.07490909090909091
0_ALL_STATES,2024-001,"Native American / American Indian, White",Joe Biden,103,989,0.10414560161779575
CA,2024-001,Black or African American,Third-Party Candidate,100,907,0.11025358324145534
KY,2024-001,White,Joe Biden,100,1038,0.09633911368015415
NY,2024-001,White,Donald J. Trump,100,170,0.5882352941176471
OK,2024-001,White,Wouldn't vote,99,722,0.1371191135734072
CA,2024-001,Black or African American,Wouldn't vote,98,907,0.10804851157662625
KY,2024-001,White,Third-Party Candidate,98,1038,0.09441233140655106
NC,2024-001,"Native American / American Indian, White",Donald J. Trump,98,120,0.8166666666666667
OK,2024-001,White,Joe Biden,98,722,0.13573407202216067
OH,2024-001,White,Wouldn't vote,97,951,0.10199789695057834
0_ALL_STATES,2024-001,"Hispanic or Latino, White",Third-Party Candidate,96,572,0.16783216783216784
KY,2024-001,White,Wouldn't vote,96,1038,0.09248554913294797
OH,2024-001,Black or African American,Joe Biden,94,444,0.21171171171171171
0_ALL_STATES,2024-001,Native Hawaiian or Pacific Islander,Donald J. Trump,93,197,0.4720812182741117
MT,2024-001,White,Donald J. Trump,93,134,0.6940298507462687
OH,2024-001,White,Joe Biden,93,951,0.09779179810725552
WA,2024-001,White,Wouldn't vote,93,893,0.10414333706606943
AZ,2024-001,Black or African American,Wouldn't vote,92,595,0.1546218487394958
AZ,2024-001,Other,Donald J. Trump,92,265,0.3471698113207547
TX,2024-001,Black or African American,Donald J. Trump,91,157,0.5796178343949044
PA,2024-001,Black or African American,Donald J. Trump,90,161,0.5590062111801242
WA,2024-001,White,Joe Biden,89,893,0.09966405375139978
OH,2024-001,White,Third-Party Candidate,88,951,0.09253417455310199
TX,2024-001,Hispanic or Latino,Donald J. Trump,87,149,0.5838926174496645
0_ALL_STATES,2024-001,"Native American / American Indian, White",Wouldn't vote,85,989,0.0859453993933266
AZ,2024-001,Native American / American Indian,Donald J. Trump,84,260,0.3230769230769231
NC,2024-001,White,Don't know,84,1524,0.05511811023622047
OK,2024-001,White,Third-Party Candidate,82,722,0.11357340720221606
WA,2024-001,Black or African American,Donald J. Trump,82,165,0.49696969696969695
0_ALL_STATES,2024-001,Asian American,Donald J. Trump,81,231,0.35064935064935066
AL,2024-001,Black or African American,Donald J. Trump,81,213,0.38028169014084506
CA,2024-001,White,Don't know,81,1355,0.05977859778597786
NC,2024-001,White,Third-Party Candidate,79,1524,0.05183727034120735
SC,2024-001,Black or African American,Joe Biden,79,358,0.2206703910614525
0_ALL_STATES,2024-001,"Black or African American, Native American / American Indian",Joe Biden,78,371,0.21024258760107817
CA,2024-001,Native American / American Indian,Donald J. Trump,78,185,0.42162162162162165
GA,2024-001,Black or African American,Donald J. Trump,76,135,0.562962962962963
KY,2024-001,Black or African American,Donald J. Trump,75,225,0.3333333333333333
WA,2024-001,Hispanic or Latino,Donald J. Trump,74,164,0.45121951219512196
AR,2024-001,Black or African American,Donald J. Trump,73,207,0.3526570048309179
0_ALL_STATES,2024-001,"Hispanic or Latino, Native American / American Indian, White",Donald J. Trump,71,154,0.461038961038961
0_ALL_STATES,2024-001,"Hispanic or Latino, Native American / American Indian",Joe Biden,69,322,0.21428571428571427
AZ,2024-001,Native American / American Indian,Joe Biden,69,260,0.2653846153846154
GA,2024-001,White,Donald J. Trump,69,93,0.7419354838709677
CA,2024-001,"Hispanic or Latino, White",Donald J. Trump,67,160,0.41875
CA,2024-001,Other,Joe Biden,67,413,0.162227602905569
FL,2024-001,White,Donald J. Trump,67,94,0.7127659574468085
ME,2024-001,White,Donald J. Trump,66,110,0.6
0_ALL_STATES,2024-001,"Native American / American Indian, Other, White",Donald J. Trump,64,142,0.4507042253521127
OK,2024-001,Native American / American Indian,Donald J. Trump,64,126,0.5079365079365079
0_ALL_STATES,2024-001,"Hispanic or Latino, White",Wouldn't vote,63,572,0.11013986013986014
CA,2024-001,Other,Third-Party Candidate,63,413,0.15254237288135594
OH,2024-001,Other,Donald J. Trump,63,125,0.504
MI,2024-001,Black or African American,Donald J. Trump,62,136,0.45588235294117646
OH,2024-001,White,Don't know,62,951,0.06519453207150368
KY,2024-001,Black or African American,Joe Biden,61,225,0.27111111111111114
WA,2024-001,Other,Donald J. Trump,61,139,0.43884892086330934
0_ALL_STATES,2024-001,"Native American / American Indian, White",Don't know,60,989,0.06066734074823053
AZ,2024-001,Black or African American,Don't know,60,595,0.10084033613445378
0_ALL_STATES,2024-001,Asian American,Joe Biden,59,231,0.2554112554112554
